2016-03-23 16:00:09,928 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.integradora.cloee:AccessControlFilter:0.1.1 @ C:\Users\marcuss.SPI\workspace\AccessControlFilter\pom.xml.
2016-03-23 16:00:09,928 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.integradora.cloee:AccessControlFilter:0.1.1 @ C:\Users\marcuss.SPI\workspace\AccessControlFilter\pom.xml.
2016-03-23 16:00:14,899 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:00:14,900 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\AccessControlFilter\src\main\resources
2016-03-23 16:00:14,904 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:00:14,905 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\AccessControlFilter\src\test\resources
2016-03-23 16:00:15,957 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.integradora.cloee:AccessControlPackage:0.1.2 @ C:\Users\marcuss.SPI\workspace\AccessControlPackage\pom.xml.
2016-03-23 16:00:16,841 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.com.integradora.cloee:AccessControlFilter:0.1.1 @ C:\Users\marcuss.SPI\workspace\AccessControlFilter\pom.xml.
2016-03-23 16:00:18,570 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-23 16:00:18,571 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\marcuss.SPI\workspace\AccessControlPackage\src\main\resources
2016-03-23 16:00:18,574 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
